target,label,koi_name,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,koi_period,koi_depth,koi_snr
KIC 10797460,CONFIRMED,K00752.01,0,0,0,0,9.48803557,615.8,35.8
KIC 10811496,CANDIDATE,K00753.01,0,0,0,0,19.89913995,10829,76.3
KIC 10848459,FALSE POSITIVE,K00754.01,0,1,0,0,1.736952453,8079.2,505.6
KIC 10854555,CONFIRMED,K00755.01,0,0,0,0,2.525591777,603.3,40.9
KIC 10872983,CONFIRMED,K00756.01,0,0,0,0,11.09432054,1517.5,66.5
KIC 6721123,FALSE POSITIVE,K00114.01,0,1,1,0,7.36178958,233.7,47.7
KIC 10910878,CONFIRMED,K00757.01,0,0,0,0,16.06864674,4914.3,161.9
KIC 11446443,CONFIRMED,K00001.01,0,0,0,0,2.470613377,14230.9,4304.3
KIC 10666592,CONFIRMED,K00002.01,0,1,0,0,2.204735417,6674.7,5945.9
KIC 6922244,CONFIRMED,K00010.01,0,0,0,0,3.522498429,9145.7,1741.5
KIC 10984090,CONFIRMED,K00112.02,0,0,0,0,3.709214104,131.1,50.6
KIC 10419211,FALSE POSITIVE,K00742.01,0,1,0,0,11.521446064,17984.3,622.1
KIC 10464078,FALSE POSITIVE,K00743.01,0,1,0,0,19.40393776,8918.7,214.7
KIC 10480982,FALSE POSITIVE,K00744.01,0,1,0,0,19.221388942,74284,2317.0
KIC 10485250,FALSE POSITIVE,K00745.01,0,1,0,0,16.46983774,10478.9,303.4
KIC 10526549,CONFIRMED,K00746.01,0,0,0,0,9.27358173,1288.3,87.2
KIC 10583066,CONFIRMED,K00747.01,0,0,0,0,6.02930329,1912.7,65.4
KIC 10583180,FALSE POSITIVE,K00748.01,0,1,1,1,2.696370652,397.9,48.2
KIC 10601284,CONFIRMED,K00749.01,0,0,0,0,5.349553819,831,60.6
KIC 2306756,FALSE POSITIVE,K00113.01,0,1,0,0,386.6030528,24926.6,994.0
KIC 10662202,CONFIRMED,K00750.01,0,0,0,0,21.67699193,857.2,34.3
KIC 10682541,CONFIRMED,K00751.01,0,0,0,0,4.99677968,934.7,28.2
KIC 11460018,CONFIRMED,K00769.01,0,0,0,0,4.280963604,750.8,61.8
