target,kepid,kepler_name,ra,dec,teff,srad,smass,dist_pc
KIC 10797460,10797460,Kepler-227,291.93423,48.141651,5455.0,0.927,0.919,1083.06
KIC 10811496,10811496,,297.00482,48.134129,5853.0,0.868,0.961,
KIC 10848459,10848459,,285.53461,48.28521,5805.0,0.791,0.836,
KIC 10854555,10854555,Kepler-664,288.75488,48.2262,6031.0,1.046,1.095,1210.12
KIC 10872983,10872983,Kepler-228,296.28613,48.22467,6046.0,0.972,1.053,1644.61
KIC 6721123,6721123,,298.86435,42.151569,6227.0,1.958,1.358,
KIC 10910878,10910878,Kepler-229,286.99948,48.37579,5031.0,0.848,0.801,826.265
KIC 11446443,11446443,Kepler-1,286.80847,49.316399,5820.0,0.964,0.971,
KIC 10666592,10666592,Kepler-2,292.24728,47.969521,6440.0,1.952,1.449,
KIC 6922244,6922244,Kepler-8,281.28812,42.45108,6225.0,1.451,1.132,1021.87
KIC 10984090,10984090,Kepler-466,295.64871,48.49556,5833.0,1.022,0.974,530.122
KIC 10419211,10419211,,297.07993,47.597401,5795.0,0.848,0.938,
KIC 10464078,10464078,,289.25821,47.635319,5043.0,0.68,0.657,
KIC 10480982,10480982,,295.81454,47.69035,6117.0,0.947,1.025,
KIC 10485250,10485250,,297.15442,47.668701,5152.0,0.786,0.741,
KIC 10526549,10526549,Kepler-660,288.13824,47.724449,4856.0,0.696,0.676,568.431
KIC 10583066,10583066,Kepler-661,283.71088,47.86327,4537.0,0.672,0.761,534.788
KIC 10583180,10583180,,283.76547,47.804298,4989.0,0.819,0.781,
KIC 10601284,10601284,Kepler-226,292.37613,47.880989,5185.0,0.91,0.831,980.138
KIC 2306756,2306756,,292.27374,37.671558,5543.0,1.58,1.103,
KIC 10662202,10662202,Kepler-662,290.46512,47.92918,4954.0,0.828,0.791,815.637
KIC 10682541,10682541,Kepler-663,297.80826,47.946671,5339.0,0.847,0.931,1063.09
KIC 11460018,11460018,Kepler-671,294.26581,49.314091,5644.0,0.831,0.928,1168.26
KIC 11463211,11463211,,295.66522,49.351009,5714.0,0.831,0.926,
KIC 11465813,11465813,,296.69861,49.316479,5520.0,0.983,1.03,
KIC 11493732,11493732,,283.72592,49.479519,6144.0,1.091,1.093,
KIC 11507101,11507101,Kepler-672,291.72202,49.480869,5481.0,1.036,0.915,1033.93
KIC 10987985,10987985,Kepler-665,297.02563,48.478588,5015.0,0.826,0.785,612.838
KIC 11018648,11018648,Kepler-230,285.71854,48.505859,5586.0,0.798,0.844,740.754
KIC 11138155,11138155,Kepler-1976,292.16705,48.727589,5712.0,1.082,0.976,1314.51
KIC 11152159,11152159,,297.92365,48.777321,5550.0,0.91,0.889,
KIC 11153539,11153539,Kepler-666,298.45685,48.791592,6075.0,0.969,1.048,1508.71
KIC 11242721,11242721,,291.0939,48.933842,6074.0,1.063,1.014,
KIC 9579641,9579641,Kepler-105,287.88733,46.276241,5779.0,1.087,0.941,459.223
KIC 11304958,11304958,Kepler-667,295.55505,49.017342,5468.0,1.046,0.93,2302.45
KIC 11391957,11391957,Kepler-668,285.49924,49.277351,5592.0,0.787,0.862,784.618
KIC 11403044,11403044,Kepler-669,291.93616,49.253979,6174.0,1.103,1.162,2063.41
KIC 11414511,11414511,Kepler-670,297.01547,49.225288,5532.0,0.955,0.941,939.744
KIC 11442465,11442465,,284.17233,49.360722,5040.0,0.705,0.782,
KIC 12110942,12110942,Kepler-680,291.62241,50.61824,5880.0,0.917,1.01,1492.48
KIC 12366084,12366084,Kepler-232,295.81616,51.121738,5714.0,1.015,1.007,1349.13
KIC 12404086,12404086,Kepler-681,289.39972,51.25032,5129.0,0.763,0.846,686.923
KIC 8395660,8395660,Kepler-106,300.86398,44.337551,5854.0,1.012,0.951,444.322
KIC 11656840,11656840,,288.98682,49.733742,6108.0,0.956,0.981,
KIC 11754553,11754553,Kepler-52,286.73804,49.97575,4126.0,0.615,0.633,321.542
KIC 11812062,11812062,Kepler-673,290.78574,50.054119,5497.0,0.809,0.907,918.21
KIC 11818800,11818800,,294.31686,50.080231,5446.0,0.781,0.714,
KIC 11853255,11853255,Kepler-674,285.17621,50.149818,4149.0,0.564,0.578,342.254
KIC 11909839,11909839,,289.23553,50.241001,5746.0,0.924,0.77,
KIC 11918099,11918099,Kepler-675,293.83331,50.23035,5005.0,0.765,0.85,665.68
KIC 11923270,11923270,Kepler-676,296.22195,50.28722,3688.0,0.473,0.503,295.196
KIC 11960862,11960862,Kepler-677,290.09805,50.321609,5992.0,0.989,0.927,1954.08
KIC 12020329,12020329,Kepler-678,295.45529,50.49456,5485.0,0.867,0.986,1826.15
KIC 12066335,12066335,Kepler-231,293.97336,50.53191,4077.0,0.56,0.576,316.618
KIC 12070811,12070811,Kepler-679,296.02133,50.56778,5557.0,0.75,0.832,922.244
KIC 3120431,3120431,,292.31595,38.27029,5295.0,0.811,0.853,
KIC 3246984,3246984,,294.36819,38.31028,5735.0,0.973,0.889,
KIC 3342970,3342970,Kepler-234,291.65353,38.494659,6214.0,1.076,1.169,1733.1
KIC 12459725,12459725,,291.0448,51.321671,5799.0,0.878,0.975,
KIC 12470844,12470844,Kepler-233,296.36652,51.319519,5354.0,0.788,0.884,856.417
KIC 12644822,12644822,Kepler-682,289.11221,51.737381,5795.0,0.919,0.992,1979.25
KIC 2440757,2440757,,290.84369,37.728828,6017.0,1.339,1.083,
KIC 2445129,2445129,,291.84891,37.713501,5927.0,1.06,1.05,
KIC 2713049,2713049,Kepler-683,291.43997,37.905659,5519.0,1.062,0.921,1023.07
KIC 3114167,3114167,Kepler-684,290.87051,38.273628,5653.0,0.679,0.767,1731.27
KIC 3114661,3114661,,290.99689,38.28492,5255.0,0.636,0.709,
KIC 3115833,3115833,,291.28195,38.241669,5988.0,0.836,0.885,
