target,mission
KIC 10666592,Kepler
KIC 11446443,Kepler
KIC 9941662,Kepler
KIC 11804465,Kepler
KIC 10874614,Kepler
KIC 9651668,Kepler
KIC 5780885,Kepler
KIC 8191672,Kepler
KIC 11359879,Kepler
KIC 5358624,Kepler
KIC 9631995,Kepler
KIC 9410930,Kepler
KIC 8359498,Kepler
KIC 6922244,Kepler
KIC 8544996,Kepler
KIC 7877496,Kepler
KIC 12019440,Kepler
KIC 5357901,Kepler
KIC 6849046,Kepler
KIC 10019708,Kepler
KIC 11414511,Kepler
KIC 5794240,Kepler
KIC 9595827,Kepler
KIC 11502867,Kepler
KIC 3749365,Kepler
KIC 7950644,Kepler
KIC 2581316,Kepler
KIC 9818381,Kepler
KIC 7529266,Kepler
KIC 10619192,Kepler
KIC 9166862,Kepler
KIC 11391018,Kepler
KIC 6462863,Kepler
KIC 4570949,Kepler
KIC 11449844,Kepler
KIC 7849854,Kepler
KIC 4742414,Kepler
KIC 9115800,Kepler
KIC 3935914,Kepler
KIC 5812701,Kepler
KIC 6522242,Kepler
KIC 2987027,Kepler
KIC 10748390,Kepler
KIC 6046540,Kepler
KIC 5972334,Kepler
KIC 3351888,Kepler
KIC 7778437,Kepler
KIC 9305831,Kepler
KIC 6061119,Kepler
KIC 7046804,Kepler
KIC 11138155,Kepler
KIC 12735740,Kepler
KIC 8672910,Kepler
KIC 5728139,Kepler
KIC 8255887,Kepler
KIC 11974540,Kepler
KIC 3323887,Kepler
KIC 5651104,Kepler
KIC 10795103,Kepler
KIC 9478990,Kepler
KIC 7303287,Kepler
KIC 10418224,Kepler
KIC 10264660,Kepler
KIC 4150804,Kepler
KIC 10723750,Kepler
KIC 9141746,Kepler
KIC 4349452,Kepler
KIC 6291653,Kepler
KIC 3937519,Kepler
KIC 8456679,Kepler
KIC 9643874,Kepler
KIC 11046458,Kepler
KIC 8644288,Kepler
KIC 7585481,Kepler
KIC 8039892,Kepler
KIC 7132798,Kepler
KIC 5683743,Kepler
KIC 7832356,Kepler
KIC 757450,Kepler
KIC 9025971,Kepler
KIC 6305192,Kepler
KIC 4275191,Kepler
KIC 12470954,Kepler
KIC 3847907,Kepler
KIC 9471974,Kepler
KIC 11442793,Kepler
KIC 10905239,Kepler
KIC 11853905,Kepler
KIC 11812062,Kepler
KIC 4164994,Kepler
KIC 12403119,Kepler
KIC 7532973,Kepler
KIC 4815520,Kepler
KIC 3247268,Kepler
KIC 10318874,Kepler
KIC 12020329,Kepler
KIC 4833421,Kepler
