target,mission
KIC 6761777,Kepler
KIC 8751796,Kepler
KIC 7455981,Kepler
KIC 7382313,Kepler
KIC 10471515,Kepler
KIC 7046035,Kepler
KIC 11818607,Kepler
KIC 5542466,Kepler
KIC 11285870,Kepler
KIC 6752002,Kepler
KIC 8047428,Kepler
KIC 11444514,Kepler
KIC 7429240,Kepler
KIC 8880123,Kepler
KIC 7450747,Kepler
KIC 9139084,Kepler
KIC 10793172,Kepler
KIC 5531953,Kepler
KIC 11566064,Kepler
KIC 9664142,Kepler
KIC 9717943,Kepler
KIC 4138008,Kepler
KIC 5562090,Kepler
KIC 12735830,Kepler
KIC 6118370,Kepler
KIC 9020114,Kepler
KIC 11284772,Kepler
KIC 7428736,Kepler
KIC 3328080,Kepler
KIC 5436013,Kepler
KIC 10879038,Kepler
KIC 11509504,Kepler
KIC 11244137,Kepler
KIC 5688790,Kepler
KIC 7908367,Kepler
KIC 7090524,Kepler
KIC 9021075,Kepler
KIC 4473613,Kepler
KIC 10863608,Kepler
KIC 10843431,Kepler
KIC 6265665,Kepler
KIC 8973129,Kepler
KIC 5209845,Kepler
KIC 10453588,Kepler
KIC 9715631,Kepler
KIC 11360805,Kepler
KIC 8766650,Kepler
KIC 9973109,Kepler
KIC 7211469,Kepler
KIC 7047207,Kepler
KIC 7673192,Kepler
KIC 9230021,Kepler
KIC 11752632,Kepler
KIC 8653134,Kepler
KIC 8081905,Kepler
KIC 7767162,Kepler
KIC 11127479,Kepler
KIC 10531955,Kepler
KIC 6356692,Kepler
KIC 2574338,Kepler
KIC 7879433,Kepler
KIC 5780930,Kepler
KIC 6226908,Kepler
KIC 6428794,Kepler
KIC 8013439,Kepler
KIC 8007644,Kepler
KIC 9992325,Kepler
KIC 12156174,Kepler
KIC 7749773,Kepler
KIC 4857213,Kepler
KIC 5965819,Kepler
KIC 12506770,Kepler
KIC 6755944,Kepler
KIC 7802719,Kepler
KIC 5940165,Kepler
KIC 6619815,Kepler
KIC 11771430,Kepler
KIC 7877978,Kepler
KIC 6047072,Kepler
KIC 6209677,Kepler
KIC 11754430,Kepler
KIC 4544907,Kepler
KIC 10662202,Kepler
KIC 6962109,Kepler
KIC 3942670,Kepler
KIC 8037145,Kepler
KIC 6071903,Kepler
KIC 6685526,Kepler
KIC 5881813,Kepler
KIC 8505920,Kepler
KIC 7289577,Kepler
KIC 7045496,Kepler
KIC 7978202,Kepler
KIC 7810483,Kepler
KIC 3962243,Kepler
KIC 9391208,Kepler
KIC 3859628,Kepler
KIC 8832512,Kepler
KIC 9782691,Kepler
KIC 6422070,Kepler
KIC 8866137,Kepler
KIC 5480640,Kepler
KIC 4056616,Kepler
KIC 11126381,Kepler
KIC 3239671,Kepler
KIC 9466429,Kepler
KIC 7620413,Kepler
KIC 10480915,Kepler
KIC 9517393,Kepler
KIC 11453592,Kepler
KIC 8282651,Kepler
KIC 11758544,Kepler
KIC 8240904,Kepler
KIC 10468940,Kepler
KIC 9823487,Kepler
KIC 11512246,Kepler
KIC 5185897,Kepler
KIC 9280239,Kepler
KIC 3448130,Kepler
KIC 9279354,Kepler
KIC 11100383,Kepler
KIC 5978361,Kepler
KIC 9353742,Kepler
KIC 6937692,Kepler
KIC 5183357,Kepler
KIC 6422155,Kepler
KIC 6934291,Kepler
KIC 6803202,Kepler
KIC 6776401,Kepler
KIC 7678434,Kepler
KIC 8689793,Kepler
KIC 9022166,Kepler
KIC 7668663,Kepler
KIC 8367113,Kepler
KIC 6037581,Kepler
KIC 10130039,Kepler
KIC 10965008,Kepler
KIC 11852982,Kepler
KIC 11769890,Kepler
KIC 9886661,Kepler
KIC 6838050,Kepler
KIC 7115785,Kepler
KIC 11361646,Kepler
